"lat" "long" "tcatch" "prerec" "recruits" "X" "Y"
"58" 39.51667 -73.15 8 6 2 659.028491190847 4375.74851626078
"59" 39.65 -73.06667 28 1 27 665.873849665752 4390.69792756799
"60" 39.65 -72.98333 46 13 33 673.024711758711 4390.85527597954
"61" 39.55 -72.96667 370 173 197 674.705396712239 4379.78794885449
"62" 39.6 -72.88333 316 66 250 681.735969254436 4385.50298646423
"63" 39.51667 -72.88333 970 482 488 681.953682781847 4376.25367267994
"64" 39.48333 -72.85 476 224 252 684.90743034584 4372.6209938434
"65" 39.5 -72.73333 7084 4487 2597 694.895862440807 4374.71737404937
"66" 39.55 -72.8 3246 2316 930 689.027115291632 4380.1249985331
"67" 39.63333 -72.76667 322 216 106 691.661260233375 4389.44508385144
"68" 39.71667 -72.85 0 0 0 684.287631008406 4398.52111544973
"69" 39.8 -72.95 0 0 0 675.503674170996 4407.56977915267
"70" 39.71667 -73 16 4 12 671.429349912627 4398.22342484324
"71" 39.71667 -73.05 17 5 12 667.143305379523 4398.1289818738
"72" 39.76667 -73.11667 15 5 10 661.31165911362 4403.55659139419
"73" 39.81667 -73.06667 17 1 16 665.47467379617 4409.19776176954
"74" 39.88333 -73.25 41 15 26 649.637577686538 4416.27370734094
"75" 39.93333 -73.28333 4 0 4 646.680755715423 4421.76827074422
"76" 39.9 -73.35 139 29 110 641.052237873238 4417.96127857355
"77" 39.98333 -73.35 0 0 0 640.881182818656 4427.21068205268
"78" 40.01667 -73.28333 5 2 3 646.502637900714 4431.01888894378
"79" 40.03333 -73.36667 3 1 2 639.356045965695 4432.73438331455
"80" 40 -73.45 21 6 15 632.31037241381 4428.90774994919
"81" 40.05 -73.48333 0 0 0 629.370651183999 4434.40866952942
"82" 40.11667 -73.56667 14 9 5 622.14232679189 4441.69110713954
"83" 40.15 -73.55 4 1 3 623.50256382182 4445.4137363182
"84" 40.13333 -73.61667 0 0 0 617.852614421589 4443.47283818171
"85" 40.16667 -73.66667 1 0 1 613.537198431459 4447.10841173404
"86" 40.21667 -73.55 0 0 0 623.38169633406 4452.8140908041
"87" 40.15 -73.28333 9 0 9 646.217032307288 4445.8185767865
"88" 39.98333 -73.05 13 1 12 666.497552719723 4427.72796648191
"89" 39.9 -73.11667 3 0 3 660.99994146261 4418.35594154386
"90" 39.85 -72.98333 3 0 3 672.52486452598 4413.05489460154
"91" 39.9 -72.91667 114 33 81 678.098595467302 4418.73575651858
"92" 39.85 -72.78333 471 202 269 689.636213917923 4413.46014477973
"93" 39.98333 -72.58333 842 556 286 706.347166360897 4428.70419911018
"94" 39.98333 -72.75 326 254 72 692.11472621751 4428.33155615646
"95" 39.98333 -72.81667 52 23 29 686.421660617817 4428.18995760525
"96" 40.1 -72.91667 22 3 19 677.57948396817 4440.93637845111
"97" 40.18333 -72.85 21 10 11 683.038893411749 4450.32183224587
"98" 40.1 -72.81667 26 4 22 686.104006867521 4441.1409178615
"99" 40.06667 -72.51667 91 33 58 711.781502087056 4438.11218422296
"100" 40.15 -72.55 70 44 26 708.683789479917 4447.28380106469
"101" 40.18333 -72.45 35 1 34 717.096147030139 4451.22365345635
"102" 40.21667 -72.51667 42 12 30 711.315931093945 4454.76379455263
"103" 40.23333 -72.68333 42 11 31 697.084538862207 4456.22939308303
"104" 40.31667 -72.61667 20 2 18 702.507072638479 4465.63142013354
"105" 40.4 -72.68333 17 8 9 696.600236866512 4474.73163810044
"106" 40.51667 -72.68333 25 6 19 696.260228711074 4487.68358702899
"107" 40.55 -72.48333 19 8 11 713.099488764527 4491.84840250326
"108" 40.45 -72.53333 20 11 9 709.175907450015 4480.6270060788
"109" 40.46667 -72.46667 41 29 12 714.776187333644 4482.63779110992
"110" 40.4 -72.41667 46 23 23 719.232232835217 4475.35924714578
"111" 40.31667 -72.43333 30 2 28 718.086781401069 4466.06712913337
"112" 40.31667 -72.35 21 8 13 725.168046055692 4466.27585004512
"113" 40.23333 -72.35 37 6 31 725.444874536177 4457.0238420018
"114" 40.18333 -72.3 290 210 80 729.868062669289 4451.60147552714
"115" 40.23333 -72.18333 207 72 135 739.625935712864 4457.4611402892
"116" 40.91667 -71.76667 297 128 169 772.290976920233 4534.54165212236
"117" 40.86667 -71.8 46 7 39 769.686898739537 4528.88669850031
"118" 40.86667 -71.85 23 7 16 765.472419739446 4528.73373408648
"119" 40.9 -71.95 1 0 1 756.914489619031 4532.13567939867
"120" 40.85 -72.06667 9 0 9 747.271771545122 4526.24794364379
"121" 40.81667 -72.18333 20 4 16 737.555514818662 4522.22437551194
"122" 40.81667 -72.3 0 0 0 727.71457320489 4521.91446358123
"123" 40.81667 -72.38333 0 0 0 720.685896350646 4521.70115233067
"124" 40.78333 -72.35 33 31 2 723.609135697 4518.08415524453
"125" 40.66667 -72.38333 28 15 13 721.182614569673 4505.04787530145
"126" 40.58333 -72.38333 159 126 33 721.457933898414 4495.79546314690
"127" 40.61667 -72.31667 62 45 17 726.98734122438 4499.66678264637
"128" 40.56667 -72.25 76 11 65 732.801218325507 4494.28994334498
"129" 40.56667 -72.18333 106 20 86 738.445866207814 4494.46841090342
"130" 40.53333 -72.18333 71 17 54 738.564259560013 4490.76694460256
"131" 40.5 -72.31667 50 13 37 727.382064860551 4486.71408198582
"132" 40.43333 -72.28333 68 14 54 730.435526851778 4479.39897820710
"133" 40.35 -72.25 24 7 17 733.550970879347 4470.23536003841
"134" 40.31667 -72.15 26 4 22 742.164084605728 4466.80405969901
"135" 40.36667 -72.1 11 1 10 746.231133183437 4472.49312929433
"136" 40.45 -71.96667 3 3 0 757.235706412026 4482.12473204412
"137" 40.56667 -71.98333 26 5 21 755.379268742906 4495.02948821698
"138" 40.6 -72.01667 34 7 27 752.430975837296 4498.63373514982
"139" 40.6 -72.13333 75 32 43 742.5586277004 4498.30546283078
"140" 40.65 -72.16667 143 87 56 739.55837850493 4503.76521348996
"141" 40.65 -72.08333 62 25 37 746.605702052962 4503.99577074725
"142" 40.7 -72.05 31 20 11 749.237692216453 4509.64113113585
"143" 40.73333 -72.05 230 160 70 749.113296166141 4513.34163355455
"144" 40.71667 -71.98333 8 1 7 754.807626411176 4511.68340882241
"145" 40.66667 -71.83333 114 35 79 767.679749411529 4506.57842287181
"146" 40.73333 -71.88333 8 3 5 763.189799955627 4513.82838618075
"147" 40.76667 -71.91667 8 0 8 760.24380752819 4517.43056916056
"148" 40.75 -71.83333 38 8 30 767.345899194249 4515.83050470354
