"","Sepal.Length","Sepal.Width","Petal.Length","Petal.Width","Species","species"
"67",5.6,3,4.5,1.5,"versicolor",TRUE
"68",5.8,2.7,4.1,1,"versicolor",TRUE
"69",6.2,2.2,4.5,1.5,"versicolor",TRUE
"70",5.6,2.5,3.9,1.1,"versicolor",TRUE
"71",5.9,3.2,4.8,1.8,"versicolor",TRUE
"72",6.1,2.8,4,1.3,"versicolor",TRUE
"73",6.3,2.5,4.9,1.5,"versicolor",TRUE
"74",6.1,2.8,4.7,1.2,"versicolor",TRUE
"75",6.4,2.9,4.3,1.3,"versicolor",TRUE
"76",6.6,3,4.4,1.4,"versicolor",TRUE
"77",6.8,2.8,4.8,1.4,"versicolor",TRUE
"78",6.7,3,5,1.7,"versicolor",TRUE
"79",6,2.9,4.5,1.5,"versicolor",TRUE
"80",5.7,2.6,3.5,1,"versicolor",TRUE
"81",5.5,2.4,3.8,1.1,"versicolor",TRUE
"82",5.5,2.4,3.7,1,"versicolor",TRUE
"83",5.8,2.7,3.9,1.2,"versicolor",TRUE
"84",6,2.7,5.1,1.6,"versicolor",TRUE
"85",5.4,3,4.5,1.5,"versicolor",TRUE
"86",6,3.4,4.5,1.6,"versicolor",TRUE
"87",6.7,3.1,4.7,1.5,"versicolor",TRUE
"88",6.3,2.3,4.4,1.3,"versicolor",TRUE
"89",5.6,3,4.1,1.3,"versicolor",TRUE
"90",5.5,2.5,4,1.3,"versicolor",TRUE
"91",5.5,2.6,4.4,1.2,"versicolor",TRUE
"92",6.1,3,4.6,1.4,"versicolor",TRUE
"93",5.8,2.6,4,1.2,"versicolor",TRUE
"94",5,2.3,3.3,1,"versicolor",TRUE
"95",5.6,2.7,4.2,1.3,"versicolor",TRUE
"96",5.7,3,4.2,1.2,"versicolor",TRUE
"97",5.7,2.9,4.2,1.3,"versicolor",TRUE
"98",6.2,2.9,4.3,1.3,"versicolor",TRUE
"99",5.1,2.5,3,1.1,"versicolor",TRUE
"100",5.7,2.8,4.1,1.3,"versicolor",TRUE
"101",6.3,3.3,6,2.5,"virginica",FALSE
"102",5.8,2.7,5.1,1.9,"virginica",FALSE
"103",7.1,3,5.9,2.1,"virginica",FALSE
"104",6.3,2.9,5.6,1.8,"virginica",FALSE
"105",6.5,3,5.8,2.2,"virginica",FALSE
"106",7.6,3,6.6,2.1,"virginica",FALSE
"107",4.9,2.5,4.5,1.7,"virginica",FALSE
"108",7.3,2.9,6.3,1.8,"virginica",FALSE
"109",6.7,2.5,5.8,1.8,"virginica",FALSE
"110",7.2,3.6,6.1,2.5,"virginica",FALSE
"111",6.5,3.2,5.1,2,"virginica",FALSE
"112",6.4,2.7,5.3,1.9,"virginica",FALSE
"113",6.8,3,5.5,2.1,"virginica",FALSE
"114",5.7,2.5,5,2,"virginica",FALSE
"115",5.8,2.8,5.1,2.4,"virginica",FALSE
"116",6.4,3.2,5.3,2.3,"virginica",FALSE
"117",6.5,3,5.5,1.8,"virginica",FALSE
"118",7.7,3.8,6.7,2.2,"virginica",FALSE
"119",7.7,2.6,6.9,2.3,"virginica",FALSE
"120",6,2.2,5,1.5,"virginica",FALSE
"121",6.9,3.2,5.7,2.3,"virginica",FALSE
"122",5.6,2.8,4.9,2,"virginica",FALSE
"123",7.7,2.8,6.7,2,"virginica",FALSE
"124",6.3,2.7,4.9,1.8,"virginica",FALSE
"125",6.7,3.3,5.7,2.1,"virginica",FALSE
"126",7.2,3.2,6,1.8,"virginica",FALSE
"127",6.2,2.8,4.8,1.8,"virginica",FALSE
"128",6.1,3,4.9,1.8,"virginica",FALSE
"129",6.4,2.8,5.6,2.1,"virginica",FALSE
"130",7.2,3,5.8,1.6,"virginica",FALSE
"131",7.4,2.8,6.1,1.9,"virginica",FALSE
"132",7.9,3.8,6.4,2,"virginica",FALSE
"133",6.4,2.8,5.6,2.2,"virginica",FALSE
"134",6.3,2.8,5.1,1.5,"virginica",FALSE
"135",6.1,2.6,5.6,1.4,"virginica",FALSE
"136",7.7,3,6.1,2.3,"virginica",FALSE
"137",6.3,3.4,5.6,2.4,"virginica",FALSE
"138",6.4,3.1,5.5,1.8,"virginica",FALSE
"139",6,3,4.8,1.8,"virginica",FALSE
"140",6.9,3.1,5.4,2.1,"virginica",FALSE
"141",6.7,3.1,5.6,2.4,"virginica",FALSE
"142",6.9,3.1,5.1,2.3,"virginica",FALSE
"143",5.8,2.7,5.1,1.9,"virginica",FALSE
"144",6.8,3.2,5.9,2.3,"virginica",FALSE
"145",6.7,3.3,5.7,2.5,"virginica",FALSE
"146",6.7,3,5.2,2.3,"virginica",FALSE
"147",6.3,2.5,5,1.9,"virginica",FALSE
"148",6.5,3,5.2,2,"virginica",FALSE
"149",6.2,3.4,5.4,2.3,"virginica",FALSE
"150",5.9,3,5.1,1.8,"virginica",FALSE
