"x","y","PointWeight","PointType"
381,3.5,363.050301,"V. Americana"
394,82,352.9893506,"V. Americana"
379.5,21,330.0635782,"V. Americana"
311,76,326.8512997,"V. Americana"
357,55.5,317.308712,"V. Americana"
427,167,311.0255267,"V. Americana"
413.5,187.5,301.7185585,"V. Americana"
455.5,3,301.7185585,"V. Americana"
450,37.5,286.521104,"V. Americana"
338.5,185,271.7163486,"V. Americana"
425.5,98.5,248.8455541,"V. Americana"
397,188,240.5281875,"V. Americana"
447.5,2,235.0618163,"V. Americana"
375,34.5,224.3175694,"V. Americana"
389.5,2,224.3175694,"V. Americana"
378,84.5,206.119894,"V. Americana"
353,191,203.5830579,"V. Americana"
313,83.5,198.5565097,"V. Americana"
381.5,91.5,196.0667975,"V. Americana"
333.5,9.5,183.8538561,"V. Americana"
401,46.5,167.4154725,"V. Americana"
348.5,195.5,165.1299639,"V. Americana"
379.5,14,165.1299639,"V. Americana"
335,184.5,153.93804,"V. Americana"
416.5,1,149.5712262,"V. Americana"
434,17.5,141.0260942,"V. Americana"
465,89,141.0260942,"V. Americana"
386,180.5,120.7628216,"V. Americana"
409,127.5,120.7628216,"V. Americana"
342.5,48,103.8689071,"V. Americana"
445,215,4560.367312,"Q. Rosea"
474,201.5,1878.051942,"Q. Rosea"
481,212.5,183.8538561,"Q. Rosea"
349,149,160.6060704,"Q. Rosea"
359,156,89.92023573,"Q. Rosea"
339.5,168.5,311.0255267,"Q. Rosea"
377,183.5,419.096314,"Q. Rosea"
370,157.5,2231.229788,"Q. Rosea"
377,151,103.8689071,"Q. Rosea"
365,136,642.4242817,"Q. Rosea"
368,137,248.8455541,"Q. Rosea"
390.5,176.5,105.6831769,"Q. Rosea"
427,169.5,1493.010493,"Q. Rosea"
425.5,100.5,226.9800692,"Q. Rosea"
449.5,197.5,3379.85104,"Q. Rosea"
467,188,191.134497,"Q. Rosea"
476,153.5,1908.902382,"Q. Rosea"
480,120,660.5198554,"Q. Rosea"
499.5,105.5,2074.990532,"Q. Rosea"
491,173.5,317.308712,"Q. Rosea"
498,197,78.53981634,"Q. Rosea"
471.5,102,86.59014751,"Q. Rosea"
340,99,1924.42185,"Q. Rosea"
369,79.5,196.0667975,"Q. Rosea"
408,7.5,2846.31436,"Q. Rosea"
406.5,30,2181.278465,"Q. Rosea"
447,12.5,280.5520779,"Q. Rosea"
302,55,1685,"Other"
324,143.5,2680,"Other"
350,25,1999,"Other"
352,197.5,1839,"Other"
357,77.5,963,"Other"
364,2,3993,"Other"
367,173,2409,"Other"
389.5,25.5,4228,"Other"
390,168,3344,"Other"
394,115.5,2233,"Other"
410,135.5,6925,"Other"
424,60,980,"Other"
433,171.5,2680,"Other"
445.5,106,7598,"Other"
453.5,226,10029,"Other"
455.5,4,1839,"Other"
461.5,142,1155,"Other"
464,124,2076,"Other"
470,174.5,6150,"Other"
476,2,2437,"Other"
477,217.5,2437,"Other"
480,189.5,2995,"Other"
497,90,12096,"Other"
461.5,215,6969,"Other"
395,79.5,6068,"Other"
447,207,6068,"Other"
413.5,210.5,5890,"Other"
453,58,5849,"Other"
376,119,5675,"Other"
326,32.5,5648,"Other"
317,133.5,5529,"Other"
310,36,5489,"Other"
483,99,5463,"Other"
362,134,5333,"Other"
353,85,5052,"Other"
354,157.5,5014,"Other"
458,185,5014,"Other"
360,90,4976,"Other"
413.5,54,4951,"Other"
412.5,50,4939,"Other"
457,191,4852,"Other"
381.5,104.5,4778,"Other"
301,201.5,4301,"Other"
401.5,96,4301,"Other"
356,177,4243,"Other"
304,155.5,4208,"Other"
499,125,3926,"Other"
372.5,203.5,3816,"Other"
437,187,3728,"Other"
473,226.5,3675,"Other"
308,217.5,3642,"Other"
346,5.5,3610,"Other"
379.5,191,3578,"Other"
310,206.5,3547,"Other"
390,50,3494,"Other"
484,105.5,3473,"Other"
317,13,3411,"Other"
432.5,45,3380,"Other"
474.5,93.5,3359,"Other"
320,38.5,3308,"Other"
443,167,3217,"Other"
488,142,3217,"Other"
427,24.5,3187,"Other"
434,139,3187,"Other"
326,135.5,3117,"Other"
456.5,98.5,2809,"Other"
363.5,60.5,2725,"Other"
310,192,2679,"Other"
341,170,2669,"Other"
489.5,97,2579,"Other"
315,177,2552,"Other"
445,229,2507,"Other"
401.5,219.5,2489,"Other"
421.5,16.5,2489,"Other"
379.5,76,2463,"Other"
379.5,56,2437,"Other"
326.5,123.5,2411,"Other"
492.5,188,2393,"Other"
375,45.5,2384,"Other"
310.5,239.5,2367,"Other"
470,20,2350,"Other"
418.5,33,2324,"Other"
398,191,2299,"Other"
378,68,2256,"Other"
461,217,2248,"Other"
425,56.5,2165,"Other"
450,220.5,2165,"Other"
453,123,2157,"Other"
446.5,155,2140,"Other"
332,155,2124,"Other"
394,213,2124,"Other"
498,165,2124,"Other"
342.5,136,2091,"Other"
318.5,166.5,2059,"Other"
402,158.5,2059,"Other"
315,42,2027,"Other"
449.5,156.5,2027,"Other"
354.5,67,1987,"Other"
444,35,1971,"Other"
412.5,196.5,1963,"Other"
438,28,1963,"Other"
491.5,198.5,1948,"Other"
375,17,1940,"Other"
465,208.5,1924,"Other"
331.5,43.5,1909,"Other"
342,131.5,1909,"Other"
405,182.5,1909,"Other"
469,5,1863,"Other"
426.5,67,1825,"Other"
354.5,121,1817,"Other"
301.5,90,1802,"Other"
369.5,152,1802,"Other"
412,175.5,1787,"Other"
345,117,1765,"Other"
456,127,1765,"Other"
343,72,1742,"Other"
379,51.5,1742,"Other"
426.5,160.5,1742,"Other"
489,166.5,1742,"Other"
342,10,1735,"Other"
476,113,1735,"Other"
341,91,1720,"Other"
374.5,34,1720,"Other"
493,90,1720,"Other"
305,95,1698,"Other"
398,143,1698,"Other"
344.5,160,1676,"Other"
323.5,249.5,1662,"Other"
385,48.5,1662,"Other"
469,93.5,1662,"Other"
315,87,1647,"Other"
471.5,113.5,1647,"Other"
352,103,1626,"Other"
383,148,1619,"Other"
316,91,1605,"Other"
319,143.5,1605,"Other"
393.5,9,1605,"Other"
425,91,1605,"Other"
352.5,111.5,1583,"Other"
385,128,1569,"Other"
354.5,83,1562,"Other"
443.5,219.5,1562,"Other"
482.5,156,1562,"Other"
395.5,1,1548,"Other"
414,88.5,1534,"Other"
463,161,1527,"Other"
368.5,209,1514,"Other"
435,135,1514,"Other"
472,108,1514,"Other"
497.5,120,1507,"Other"
301,175.5,1493,"Other"
305,209,1493,"Other"
364,10,1479,"Other"
444,173,1479,"Other"
484.5,151,1473,"Other"
406,36,1459,"Other"
413,137.5,1459,"Other"
453,150,1459,"Other"
314,70,1452,"Other"
467,45,1452,"Other"
314,62.5,1439,"Other"
333.5,10.5,1439,"Other"
339,55,1439,"Other"
475,224,1439,"Other"
308,189.5,1432,"Other"
399,221,1432,"Other"
436,99,1432,"Other"
440,188,1432,"Other"
439.5,194,1419,"Other"
443,68.5,1419,"Other"
320,182.5,1405,"Other"
383.5,177,1405,"Other"
496,134,1405,"Other"
388,18,1399,"Other"
312,53,1385,"Other"
317,35.5,1385,"Other"
392.5,107,1385,"Other"
390.5,32.5,1379,"Other"
405.5,148.5,1379,"Other"
423,134,1379,"Other"
455,30,1379,"Other"
380,98,1353,"Other"
388,106,1353,"Other"
419,5.5,1353,"Other"
431,160,1353,"Other"
446,110.5,1353,"Other"
482.5,127.5,1353,"Other"
389,128,1333,"Other"
354,18.5,1327,"Other"
429,34,1327,"Other"
446,2,1327,"Other"
358.5,165,1314,"Other"
422,107.5,1314,"Other"
329.5,49.5,1301,"Other"
385,106.5,1301,"Other"
428,110,1301,"Other"
458,52,1301,"Other"
365.5,99,1282,"Other"
348,79,1276,"Other"
375,76,1276,"Other"
388.5,219.5,1263,"Other"
426.5,122.5,1263,"Other"
328,153.5,1250,"Other"
395.5,38,1244,"Other"
402.5,164.5,1232,"Other"
498,111.5,1232,"Other"
350,13,1225,"Other"
413.5,22,1225,"Other"
495,122,1225,"Other"
369.5,1,1213,"Other"
403,176.5,1213,"Other"
434,13,1213,"Other"
410.5,101,1207,"Other"
433,81,1195,"Other"
349.5,155.5,1182,"Other"
375,83.5,1182,"Other"
436.5,3,1182,"Other"
449,55,1182,"Other"
453,134.5,1182,"Other"
379.5,140,1176,"Other"
460,215,1176,"Other"
363.5,188.5,1164,"Other"
371,201,1164,"Other"
379.5,0.5,1164,"Other"
390,115,1164,"Other"
464,156,1164,"Other"
468,133,1164,"Other"
317,31,1158,"Other"
328.5,64,1158,"Other"
387,189,1158,"Other"
307,149.5,1146,"Other"
330,143,1146,"Other"
408,168,1146,"Other"
427,152,1146,"Other"
428.5,99,1146,"Other"
437,75,1146,"Other"
477,155,1146,"Other"
496,127,1146,"Other"
442.5,197,1134,"Other"
311,23,1128,"Other"
341,35,1128,"Other"
450,117,1128,"Other"
453.5,183.5,1128,"Other"
474,114.5,1128,"Other"
305,40,1116,"Other"
440.5,86,1116,"Other"
448,144.5,1116,"Other"
487,151.5,1116,"Other"
340,200,1110,"Other"
353.5,19.5,1110,"Other"
417.5,144,1110,"Other"
444.5,121,1110,"Other"
462.5,113.5,1110,"Other"
430.5,210.5,1099,"Other"
349,38,1087,"Other"
413.5,175,1087,"Other"
414,176,1087,"Other"
429,32,1087,"Other"
449,87,1087,"Other"
494.5,159.5,1087,"Other"
330.5,19.5,1081,"Other"
371.5,146,1081,"Other"
399.5,96.5,1069,"Other"
360,50,1064,"Other"
396,122,1064,"Other"
425,196,1064,"Other"
363.5,120.5,1052,"Other"
419.5,105,1052,"Other"
495.5,173,1052,"Other"
367.5,54,1041,"Other"
373.5,67.5,1041,"Other"
425,105,1041,"Other"
411,47.5,1035,"Other"
411.5,159.5,1035,"Other"
418,166,1035,"Other"
467,181.5,1035,"Other"
433,48,1024,"Other"
314.5,176,1018,"Other"
316,131,1018,"Other"
316,24,1007,"Other"
344,27.5,1007,"Other"
470,131.5,1007,"Other"
322,177,1001,"Other"
398,214.5,1001,"Other"
481,192.5,1001,"Other"
480,90,990,"Other"
486,173,990,"Other"
353,157,979,"Other"
460,44,979,"Other"
470,10.5,979,"Other"
478,190,979,"Other"
317,34,973,"Other"
372,164.5,973,"Other"
437,108,973,"Other"
464,104,973,"Other"
468,197,973,"Other"
323.5,72.5,962,"Other"
334.5,50,962,"Other"
346,44,962,"Other"
387,117.5,962,"Other"
405,155,962,"Other"
449,210,962,"Other"
462,201,962,"Other"
476,1.5,962,"Other"
489.5,201.5,962,"Other"
363.5,93.5,957,"Other"
390,4.5,957,"Other"
303,156,946,"Other"
379,209,946,"Other"
416.5,124.5,946,"Other"
458,36,946,"Other"
470.5,179,946,"Other"
474,226,946,"Other"
324,90,935,"Other"
312.5,73.5,929,"Other"
376,217,929,"Other"
385.5,169.5,929,"Other"
412,10.5,929,"Other"
416,25.5,929,"Other"
429,23,929,"Other"
446,206,929,"Other"
346,153.5,919,"Other"
454,121.5,919,"Other"
487.5,113,919,"Other"
316,135.5,913,"Other"
420.5,147,913,"Other"
353.5,199.5,903,"Other"
444.5,143.5,903,"Other"
460,1,903,"Other"
321.5,177.5,892,"Other"
363,125.5,892,"Other"
369,196,892,"Other"
434,96,892,"Other"
307,203.5,887,"Other"
344,193,887,"Other"
426,124,887,"Other"
484,132.5,887,"Other"
365,213,876,"Other"
403,164.5,876,"Other"
427.5,171,876,"Other"
457,167,876,"Other"
466.5,144,876,"Other"
307,99.5,871,"Other"
414.5,121,871,"Other"
448.5,91,871,"Other"
484.5,148.5,871,"Other"
302,32,860,"Other"
349,51.5,860,"Other"
382,15,860,"Other"
432.5,196,860,"Other"
476,218,860,"Other"
348.5,2.5,850,"Other"
382,99,850,"Other"
392.5,93,850,"Other"
406,23,850,"Other"
308.5,5.5,845,"Other"
372,61.5,845,"Other"
377.5,184,845,"Other"
334,133.5,835,"Other"
389,191.5,835,"Other"
447,125,835,"Other"
453.5,82.5,835,"Other"
471,150,835,"Other"
312,13.5,830,"Other"
420,82,830,"Other"
432.5,16.5,830,"Other"
498,163.5,830,"Other"
372,76.5,819,"Other"
384.5,101,819,"Other"
392.5,163.5,809,"Other"
396,32,809,"Other"
422.5,87,809,"Other"
431.5,172.5,809,"Other"
362,38,804,"Other"
383,61,804,"Other"
423,129,804,"Other"
428,145.5,804,"Other"
305,181,794,"Other"
359.5,58,794,"Other"
364,59.5,794,"Other"
375,9.5,794,"Other"
392.5,56.5,794,"Other"
436.5,227,794,"Other"
440,20.5,794,"Other"
450,194.5,794,"Other"
473.5,197,794,"Other"
476,127,794,"Other"
483.5,168.5,794,"Other"
487,160,794,"Other"
488,211.5,794,"Other"
322.5,75,789,"Other"
336,123,789,"Other"
361.5,210.5,789,"Other"
451.5,185.5,789,"Other"
458,87,789,"Other"
406,196,779,"Other"
410,135.5,779,"Other"
328.5,151,774,"Other"
334,101.5,774,"Other"
334,190,774,"Other"
363,163.5,774,"Other"
386,8,774,"Other"
441.5,166.5,774,"Other"
335,95,765,"Other"
375,130,765,"Other"
406,5.5,755,"Other"
455,150,755,"Other"
469,172,755,"Other"
471,185.5,755,"Other"
308,21,750,"Other"
367,40,750,"Other"
386,217,750,"Other"
400,158,750,"Other"
411.5,19,750,"Other"
462,22.5,750,"Other"
354,37.5,740,"Other"
377.5,219.5,740,"Other"
387,139,740,"Other"
399.5,52.5,740,"Other"
477.5,211,740,"Other"
328.5,185.5,735,"Other"
341,178,735,"Other"
365,171.5,735,"Other"
371.5,175,735,"Other"
400.5,117.5,735,"Other"
404.5,138,735,"Other"
412.5,187,735,"Other"
453,88.5,735,"Other"
310.5,37,726,"Other"
398.5,73.5,726,"Other"
361,98,716,"Other"
369.5,179,716,"Other"
370.5,199,716,"Other"
404,86,712,"Other"
439.5,40,712,"Other"
497,120,712,"Other"
325,65,702,"Other"
344.5,46,702,"Other"
349,16,702,"Other"
360,13,702,"Other"
377,14.5,702,"Other"
453.5,44.5,702,"Other"
302,223,697,"Other"
307.5,68.5,697,"Other"
373.5,179,697,"Other"
447,151,697,"Other"
450.5,51,697,"Other"
398,117,688,"Other"
406.5,1,688,"Other"
412.5,70.5,688,"Other"
335.5,108.5,679,"Other"
365,25,674,"Other"
375.5,9,674,"Other"
395,163.5,674,"Other"
397.5,197.5,674,"Other"
413.5,156,674,"Other"
445.5,30,674,"Other"
463.5,10,674,"Other"
474,142,674,"Other"
355,90.5,665,"Other"
374,118,665,"Other"
385,134,661,"Other"
404,181.5,661,"Other"
472,137.5,661,"Other"
318,87.5,651,"Other"
357,143,651,"Other"
380,158.5,651,"Other"
401.5,194.5,651,"Other"
420,131,651,"Other"
318,147,642,"Other"
380,31,642,"Other"
419.5,23,642,"Other"
452.5,157,642,"Other"
495,193,642,"Other"
304,4.5,638,"Other"
425,200,638,"Other"
425.5,110,638,"Other"
446,93.5,638,"Other"
460,197.5,638,"Other"
478.5,123,638,"Other"
482.5,221.5,638,"Other"
313.5,241.5,629,"Other"
327,12,629,"Other"
371.5,185.5,629,"Other"
409,147,629,"Other"
445,48.5,625,"Other"
452,103,625,"Other"
453,143.5,625,"Other"
350,162.5,616,"Other"
380,31,616,"Other"
467,15,616,"Other"
402.5,170,611,"Other"
435,62,611,"Other"
488,94,611,"Other"
389.5,135,603,"Other"
406,43.5,603,"Other"
442,105.5,603,"Other"
453,193,603,"Other"
456,53,603,"Other"
460,190,603,"Other"
472.5,4.5,603,"Other"
367,59.5,594,"Other"
414.5,80,590,"Other"
416,135.5,590,"Other"
441,98,590,"Other"
443,157.5,590,"Other"
308,89,581,"Other"
335.5,172.5,581,"Other"
362,132,581,"Other"
373,193,581,"Other"
382.5,180,581,"Other"
395,85,581,"Other"
398,108,581,"Other"
460,220,581,"Other"
492,179.5,581,"Other"
418.5,99,577,"Other"
422.5,101,577,"Other"
462,127,577,"Other"
470,162,577,"Other"
496,209.5,577,"Other"
314,46,568,"Other"
386,75,568,"Other"
449.5,206,568,"Other"
494,151,568,"Other"
402.5,66,560,"Other"
407,13,560,"Other"
461,39,560,"Other"
471.5,98,560,"Other"
496,90,560,"Other"
316,44,556,"Other"
328,56,556,"Other"
334,88,556,"Other"
375.5,101.5,556,"Other"
381,100.5,556,"Other"
396.5,107,556,"Other"
406.5,85,556,"Other"
424.5,150,556,"Other"
460,107,556,"Other"
338,134,547,"Other"
350.5,141.5,547,"Other"
399.5,23.5,547,"Other"
341.5,100,543,"Other"
383.5,159,543,"Other"
341,202,535,"Other"
375,100,535,"Other"
448.5,135.5,535,"Other"
456,17,535,"Other"
305,243.5,527,"Other"
364,141,527,"Other"
401,219.5,527,"Other"
420,119,527,"Other"
450,175,527,"Other"
461.5,120,527,"Other"
464.5,157,527,"Other"
492,202,527,"Other"
305,175.5,523,"Other"
361.5,87,523,"Other"
377,45,523,"Other"
401,12.5,523,"Other"
417,35,523,"Other"
434.5,135.5,523,"Other"
315,247.5,515,"Other"
355,45.5,515,"Other"
376,94.5,515,"Other"
399,9,515,"Other"
404.5,146.5,515,"Other"
414,62.5,515,"Other"
419,34,515,"Other"
420,197.5,515,"Other"
475.5,220,515,"Other"
378.5,45,511,"Other"
443.5,112,511,"Other"
450.5,131,511,"Other"
470,94.5,511,"Other"
413,51,503,"Other"
443,151,503,"Other"
457,135,503,"Other"
318,10,495,"Other"
329,185,495,"Other"
402,202,495,"Other"
428,74,495,"Other"
496.5,203,495,"Other"
339.5,112.5,491,"Other"
377,138,491,"Other"
385.5,142,491,"Other"
404.5,114.5,491,"Other"
439,87,491,"Other"
486.5,177,491,"Other"
325,129,483,"Other"
402.5,26.5,483,"Other"
447.5,107,483,"Other"
448.5,200.5,483,"Other"
462.5,27,483,"Other"
499.5,154.5,483,"Other"
320,42,479,"Other"
362.5,182,479,"Other"
364.5,199,479,"Other"
401,162.5,479,"Other"
437,63.5,479,"Other"
494.5,136.5,479,"Other"
330,174.5,471,"Other"
351.5,74,471,"Other"
353.5,53,471,"Other"
364,65,471,"Other"
378,123,471,"Other"
389.5,140.5,471,"Other"
419,171.5,471,"Other"
426,109,471,"Other"
443,180,471,"Other"
460,223,471,"Other"
478.5,156.5,471,"Other"
358.5,80.5,468,"Other"
370,127,468,"Other"
468,191,468,"Other"
362.5,144,460,"Other"
418.5,117,460,"Other"
429,98,460,"Other"
446,29.5,460,"Other"
468,148.5,460,"Other"
304,74.5,452,"Other"
322,2,452,"Other"
343,78,452,"Other"
417.5,205,452,"Other"
448,229,452,"Other"
472,201,452,"Other"
495.5,104.5,452,"Other"
334.5,122,449,"Other"
341.5,150,449,"Other"
342.5,93,449,"Other"
343.5,127,449,"Other"
345.5,141,449,"Other"
369,126,449,"Other"
391.5,122,449,"Other"
432,15,449,"Other"
438,37.5,449,"Other"
377,195.5,441,"Other"
385,86.5,441,"Other"
427.5,188,441,"Other"
474,179.5,441,"Other"
497,215,441,"Other"
355,55,437,"Other"
369.5,107.5,437,"Other"
374.5,70,437,"Other"
437.5,163.5,437,"Other"
443.5,204,437,"Other"
472.5,158,437,"Other"
478,92.5,437,"Other"
304,245.5,430,"Other"
369,172,430,"Other"
380.5,135.5,430,"Other"
433,129.5,430,"Other"
459.5,188,430,"Other"
313.5,177,423,"Other"
336,31.5,423,"Other"
395.5,17.5,423,"Other"
410,29,423,"Other"
419.5,93,423,"Other"
427.5,17,423,"Other"
444,210,423,"Other"
327,110,419,"Other"
366,32.5,419,"Other"
398,78,419,"Other"
489,126,419,"Other"
338.5,163,412,"Other"
386,64,412,"Other"
410,40,412,"Other"
424,30,412,"Other"
435,71.5,412,"Other"
480,139.5,412,"Other"
486,109,412,"Other"
329,147,408,"Other"
333,35,408,"Other"
354,186.5,408,"Other"
360,147,408,"Other"
370,44,408,"Other"
411,205.5,408,"Other"
418,182.5,408,"Other"
453,161,408,"Other"
316,162.5,401,"Other"
329,157,401,"Other"
333.5,91.5,401,"Other"
348,134,401,"Other"
381,193.5,401,"Other"
398.5,161,401,"Other"
422,161,401,"Other"
325.5,156,394,"Other"
368.5,136.5,394,"Other"
448,117,394,"Other"
344.5,37.5,391,"Other"
355.5,184.5,391,"Other"
364,4,391,"Other"
374.5,145,391,"Other"
405,121.5,391,"Other"
423.5,73,391,"Other"
428,53,391,"Other"
447,136,391,"Other"
457.5,202,391,"Other"
482,137.5,391,"Other"
307,78,384,"Other"
308.5,197.5,384,"Other"
310,115.5,384,"Other"
323.5,168,384,"Other"
340,171,384,"Other"
409.5,49.5,384,"Other"
416.5,185,384,"Other"
418,56.5,384,"Other"
430,55,384,"Other"
438,138.5,384,"Other"
457,100,384,"Other"
462,183.5,384,"Other"
328,49,380,"Other"
364,42,380,"Other"
425.5,187,380,"Other"
434,151.5,380,"Other"
454,199.5,380,"Other"
462,182,380,"Other"
313,92.5,373,"Other"
315.5,18.5,373,"Other"
339,70,373,"Other"
351.5,137.5,373,"Other"
412.5,164,373,"Other"
417,142,373,"Other"
425,150,373,"Other"
434,61,373,"Other"
446.5,172,373,"Other"
302,187.5,366,"Other"
306,150,366,"Other"
318,103.5,366,"Other"
348.5,194,366,"Other"
353,166,366,"Other"
362,115.5,366,"Other"
369,23,366,"Other"
397,180.5,366,"Other"
432.5,219,366,"Other"
443.5,36.5,366,"Other"
483.5,220,366,"Other"
494,156,366,"Other"
317,125.5,363,"Other"
336,179,363,"Other"
418,113.5,363,"Other"
473,177.5,363,"Other"
319.5,176,356,"Other"
431,4,356,"Other"
456,115,356,"Other"
459,120.5,356,"Other"
484,198.5,356,"Other"
311,221.5,353,"Other"
316.5,10.5,353,"Other"
331.5,184.5,353,"Other"
358.5,95.5,353,"Other"
395,192,353,"Other"
400,199,353,"Other"
407.5,101.5,353,"Other"
434.5,176,353,"Other"
440,195,353,"Other"
459,126,353,"Other"
478.5,180.5,353,"Other"
498,153,353,"Other"
333,62,346,"Other"
338.5,161.5,346,"Other"
343,176,346,"Other"
361,3,346,"Other"
410.5,128,346,"Other"
454,1,346,"Other"
460,128,346,"Other"
466.5,206.5,346,"Other"
473,195,346,"Other"
324,67,340,"Other"
342,23.5,340,"Other"
346.5,20.5,340,"Other"
358,27,340,"Other"
365,18.5,340,"Other"
403.5,160,340,"Other"
420,53.5,340,"Other"
428,118,340,"Other"
441,140.5,340,"Other"
460,208,340,"Other"
319,97.5,337,"Other"
320.5,118.5,337,"Other"
337.5,193.5,337,"Other"
345.5,47.5,337,"Other"
358,71.5,337,"Other"
359,69,337,"Other"
361,45.5,337,"Other"
370,18.5,337,"Other"
383,99,337,"Other"
411,152,337,"Other"
440,80,337,"Other"
447,14,337,"Other"
450,7,337,"Other"
488.5,137.5,337,"Other"
304,5.5,330,"Other"
318,245.5,330,"Other"
329.5,91.5,330,"Other"
338,119.5,330,"Other"
341.5,75.5,330,"Other"
358,103,330,"Other"
368.5,112.5,330,"Other"
401.5,156.5,330,"Other"
446,106,330,"Other"
446,193.5,330,"Other"
463.5,149,330,"Other"
490,130,330,"Other"
494,193.5,330,"Other"
310,232.5,327,"Other"
319.5,185,327,"Other"
324.5,80,327,"Other"
370,53.5,327,"Other"
378,50.5,327,"Other"
386,3,327,"Other"
422,109.5,327,"Other"
431.5,185.5,327,"Other"
438,167,327,"Other"
450.5,138.5,327,"Other"
458,175.5,327,"Other"
322.5,114,320,"Other"
329.5,133,320,"Other"
330,137,320,"Other"
349,31,320,"Other"
388.5,18,320,"Other"
401.5,219.5,320,"Other"
415,164,320,"Other"
302.5,80,317,"Other"
323,72.5,317,"Other"
335.5,185,317,"Other"
339.5,194,317,"Other"
366,17,317,"Other"
410,151,317,"Other"
411.5,90.5,317,"Other"
416.5,62.5,317,"Other"
431,183.5,317,"Other"
445,12.5,317,"Other"
469.5,106.5,317,"Other"
308,47,311,"Other"
308,129,311,"Other"
317,121,311,"Other"
318.5,2,311,"Other"
322,54,311,"Other"
335,136.5,311,"Other"
345.5,124,311,"Other"
346,73,311,"Other"
357.5,61.5,311,"Other"
384.5,216,311,"Other"
415.5,1,311,"Other"
417.5,139,311,"Other"
447.5,207.5,311,"Other"
331,77,305,"Other"
351.5,113,305,"Other"
352,83.5,305,"Other"
358.5,50.5,305,"Other"
393.5,149,305,"Other"
397,43,305,"Other"
413.5,104,305,"Other"
421,13,305,"Other"
421,212,305,"Other"
424,214.5,305,"Other"
429.5,188.5,305,"Other"
433.5,198,305,"Other"
438.5,177,305,"Other"
439,157,305,"Other"
457,227,305,"Other"
463.5,90,305,"Other"
486.5,148,305,"Other"
307.5,51,302,"Other"
323.5,15,302,"Other"
338,43,302,"Other"
362.5,86,302,"Other"
374,179,302,"Other"
394.5,84,302,"Other"
424,141.5,302,"Other"
431,58,302,"Other"
490,209.5,302,"Other"
497,140,302,"Other"
307,120,296,"Other"
317,157.5,296,"Other"
322,169,296,"Other"
366,155,296,"Other"
404,43,296,"Other"
410,141,296,"Other"
417.5,153,296,"Other"
424.5,181.5,296,"Other"
435.5,176,296,"Other"
439.5,178.5,296,"Other"
452.5,92,296,"Other"
456,50,296,"Other"
461,175.5,296,"Other"
469.5,115,296,"Other"
472,134.5,296,"Other"
477.5,199,296,"Other"
304,171.5,293,"Other"
312,247.5,293,"Other"
315,249.5,293,"Other"
316.5,154.5,293,"Other"
317,93.5,293,"Other"
330,80.5,293,"Other"
343.5,134,293,"Other"
350,176,293,"Other"
368,75.5,293,"Other"
381.5,118.5,293,"Other"
413,200,293,"Other"
421,186,293,"Other"
422,227,293,"Other"
473,187.5,293,"Other"
313.5,120,287,"Other"
320,82,287,"Other"
322,182,287,"Other"
337,1.5,287,"Other"
340,144,287,"Other"
385,69,287,"Other"
