interest_rate,verified_income,debt_to_income,credit_util,public_record_bankrupt,term,issue_month,inquiries_last_12m
22.91,Verified,28.53,0.39,0,36,18-Feb,1
7.97,Not Verified,20.74,0.13,0,36,18-Jan,8
18.06,Not Verified,12.22,0.41,1,60,18-Jan,3
6.08,Not Verified,15.84,0.14,0,36,18-Jan,0
5.32,Source Verified,3.82,0.14,0,36,18-Feb,0
5.32,Not Verified,15.48,0.17,1,36,18-Feb,2
9.93,Source Verified,14.16,0.08,0,36,18-Jan,2
20,Verified,49.58,0.66,1,60,18-Feb,2
15.05,Not Verified,13.27,0.92,0,36,18-Feb,0
7.96,Source Verified,16.72,0.13,0,36,18-Mar,13
26.77,Source Verified,18.5,0.11,0,60,18-Mar,2
9.44,Not Verified,15.28,0.1,1,60,18-Jan,6
13.59,Not Verified,19.05,0.3,0,36,18-Feb,9
15.04,Source Verified,26.96,0.47,0,36,18-Mar,0
5.31,Not Verified,21.63,0.38,0,36,18-Mar,2
14.08,Verified,24.77,0.72,0,36,18-Feb,8
13.59,Source Verified,18.36,0.56,0,36,18-Jan,2
7.97,Not Verified,18.92,0.46,0,36,18-Feb,0
9.93,Source Verified,14.66,0.43,0,60,18-Jan,2
6.08,Source Verified,29.58,0.11,0,36,18-Jan,0
21.85,Not Verified,37.83,0.66,0,60,18-Feb,0
10.42,Source Verified,13.49,0.71,0,36,18-Feb,2
17.47,Source Verified,29.36,0.77,0,36,18-Mar,0
10.9,Source Verified,1.12,0.2,0,36,18-Mar,0
6.08,Not Verified,18.67,0.28,0,36,18-Jan,0
12.61,Not Verified,25.23,0.54,0,36,18-Mar,1
23.87,Verified,27.56,0.08,0,36,18-Feb,2
18.06,Verified,26.88,0.22,0,36,18-Feb,2
13.59,Source Verified,21.45,0.92,0,60,18-Jan,0
16.02,Source Verified,15.3,0.62,1,36,18-Feb,3
9.93,Verified,16.13,0.33,0,36,18-Feb,2
9.92,Source Verified,2.91,0.16,0,36,18-Mar,2
7.35,Not Verified,18.55,0.66,0,36,18-Jan,1
10.91,Source Verified,9.19,0.12,0,36,18-Feb,2
13.59,Source Verified,8.46,0.56,0,60,18-Feb,1
14.07,Source Verified,9.8,0.39,1,36,18-Mar,0
7.34,Not Verified,11.62,0.39,0,36,18-Mar,6
15.05,Verified,24.31,0.14,0,60,18-Feb,1
6.72,Verified,14.66,0.3,0,36,18-Feb,0
16.01,Source Verified,22.73,0.16,0,36,18-Mar,1
7.34,Not Verified,9.91,0.22,0,36,18-Mar,0
23.88,Not Verified,29.47,0.94,1,36,18-Feb,4
15.05,Not Verified,27.68,0.65,0,36,18-Jan,1
6.72,Not Verified,4.25,0.21,0,36,18-Feb,0
21.45,Source Verified,16.97,0.37,0,36,18-Feb,3
25.82,Verified,19.44,0.45,1,60,18-Feb,1
14.08,Not Verified,6.06,0.62,0,60,18-Jan,2
15.05,Verified,17.25,0.74,1,36,18-Feb,1
9.44,Not Verified,23.33,0.33,0,36,18-Jan,0
17.09,Verified,33.19,0.75,0,36,18-Feb,2
16.01,Not Verified,19.93,0.65,0,36,18-Mar,1
10.9,Source Verified,15.31,0.32,1,60,18-Mar,2
12.62,Not Verified,22.88,0.52,0,36,18-Jan,2
21.45,Verified,14.4,0.84,0,60,18-Feb,2
10.41,Source Verified,6.11,0.06,0,36,18-Mar,3
5.32,Not Verified,18.65,0.46,0,36,18-Jan,0
21.85,Verified,27.08,0.16,1,60,18-Mar,2
18.06,Not Verified,11.73,0.52,1,60,18-Jan,3
5.32,Source Verified,7.82,0.24,0,36,18-Feb,2
17.09,Source Verified,18.88,0.71,0,60,18-Feb,3
9.93,Source Verified,20.78,0.14,0,60,18-Mar,1
6.08,Source Verified,19.42,0.62,0,36,18-Feb,1
17.09,Not Verified,NA,0.81,0,60,18-Feb,10
16.01,Not Verified,0.33,0.43,0,36,18-Mar,2
13.59,Not Verified,8.56,0.48,1,60,18-Feb,0
9.92,Source Verified,14.16,0.53,0,36,18-Mar,2
15.04,Source Verified,12.89,0.17,0,60,18-Mar,2
6.71,Not Verified,9.92,0.06,0,36,18-Mar,3
17.47,Source Verified,7.2,0.98,0,36,18-Mar,0
11.99,Source Verified,27.06,0.47,1,36,18-Jan,2
13.59,Source Verified,13.3,0.5,0,36,18-Feb,1
7.35,Not Verified,24.99,0.34,0,36,18-Jan,9
10.42,Source Verified,0.54,0,0,60,18-Jan,4
7.97,Source Verified,16.72,0.13,0,36,18-Feb,0
9.92,Not Verified,10.62,0.15,0,60,18-Mar,1
12.61,Verified,39.34,0.59,0,36,18-Mar,0
9.93,Not Verified,14.23,0.32,0,60,18-Jan,1
14.07,Not Verified,21.79,0.15,0,60,18-Mar,1
14.08,Source Verified,5.96,0.74,0,60,18-Feb,0
12.62,Source Verified,22.49,0.45,0,60,18-Jan,2
16.02,Source Verified,17.28,0.18,0,60,18-Jan,3
14.07,Not Verified,29.38,0.25,0,60,18-Feb,7
18.06,Source Verified,24.57,0.47,0,36,18-Feb,2
14.08,Not Verified,21.3,0.47,0,60,18-Jan,1
16.02,Source Verified,8.63,0.92,0,60,18-Feb,0
11.99,Source Verified,8.66,0.13,0,60,18-Jan,0
6.72,Not Verified,26.49,0.46,0,36,18-Feb,0
19.03,Source Verified,8.37,0.72,1,60,18-Jan,9
6.71,Source Verified,11.33,0.6,0,36,18-Mar,0
6.07,Not Verified,15.48,0.55,0,36,18-Mar,0
7.35,Source Verified,16.95,0.25,0,36,18-Jan,0
13.59,Not Verified,27.93,0.53,1,36,18-Feb,1
13.59,Source Verified,5.87,0.07,0,36,18-Jan,1
5.31,Not Verified,12.42,0.1,0,36,18-Mar,0
7.97,Source Verified,13.04,0.61,0,36,18-Jan,2
7.35,Source Verified,40.15,0.25,1,36,18-Jan,3
11.99,Verified,11.88,0.52,1,36,18-Jan,2
16.02,Not Verified,25.41,0.46,0,36,18-Feb,3
9.93,Source Verified,9.33,0.7,1,36,18-Jan,0
19.42,Not Verified,27.74,0.51,0,36,18-Feb,5
7.96,Not Verified,23.01,0.47,0,36,18-Mar,0
13.59,Source Verified,10.83,0.03,0,36,18-Jan,0
12.61,Verified,39.63,0.81,1,36,18-Mar,7
19.03,Verified,18.09,0.1,0,36,18-Feb,5
16.01,Source Verified,7.08,0.32,0,36,18-Mar,6
6.72,Not Verified,2.54,0.09,0,36,18-Jan,0
6.07,Not Verified,25.33,0.2,1,36,18-Mar,1
15.05,Source Verified,23.92,0.23,0,36,18-Jan,0
6.07,Source Verified,29.72,0.6,0,36,18-Mar,0
13.58,Verified,22.66,0.29,0,36,18-Mar,2
10.42,Source Verified,5.68,0.34,0,36,18-Feb,1
11.98,Source Verified,9.73,0.9,0,36,18-Mar,0
9.43,Source Verified,2.78,0.06,0,36,18-Mar,0
16.02,Not Verified,39.07,0.69,0,36,18-Feb,3
18.06,Verified,25.43,0.43,0,36,18-Feb,0
12.61,Source Verified,2.47,0.13,0,60,18-Mar,1
14.07,Source Verified,22.92,0.13,0,60,18-Mar,1
10.42,Source Verified,27.71,0.39,0,36,18-Jan,4
10.42,Source Verified,14.04,0.68,1,36,18-Jan,2
17.47,Source Verified,11.79,0.16,1,60,18-Mar,1
10.91,Not Verified,30.54,0.76,0,60,18-Jan,1
5.32,Not Verified,18.63,0.1,0,36,18-Jan,0
9.44,Not Verified,18.39,0.15,0,60,18-Jan,3
9.44,Source Verified,27.84,0.15,0,36,18-Mar,1
14.08,Not Verified,9.24,0.32,0,36,18-Feb,0
7.35,Not Verified,14.31,0.21,1,36,18-Jan,1
12.62,Not Verified,14.39,0.33,0,60,18-Jan,1
15.04,Verified,22.04,0.69,0,36,18-Mar,1
9.92,Source Verified,0,0,0,60,18-Mar,3
10.9,Verified,15.81,0.48,0,60,18-Mar,3
6.72,Not Verified,27.6,0.49,0,36,18-Mar,4
5.32,Verified,29.12,0.52,0,36,18-Feb,0
11.99,Verified,7.57,0.93,0,60,18-Jan,1
5.32,Source Verified,10.67,0.07,0,36,18-Feb,1
10.41,Verified,31.61,0.33,0,36,18-Mar,0
14.07,Source Verified,8.7,0.72,0,60,18-Mar,1
6.07,Not Verified,15.05,0.22,0,36,18-Feb,1
9.93,Verified,28.96,0.69,0,36,18-Jan,0
11.99,Source Verified,2.28,0.36,0,36,18-Mar,10
6.71,Verified,12.9,0.17,1,36,18-Mar,2
5.31,Not Verified,16.57,0.12,0,36,18-Feb,2
13.59,Not Verified,18.03,0.41,0,60,18-Feb,1
10.9,Source Verified,10.92,0.53,1,36,18-Feb,3
12.62,Source Verified,5.59,0.26,0,36,18-Jan,2
10.42,Not Verified,27.02,0.94,0,36,18-Jan,2
15.05,Not Verified,24.38,0.81,0,36,18-Feb,4
6.71,Not Verified,11.45,0.34,0,36,18-Feb,0
21.45,Source Verified,28.8,0.92,1,60,18-Feb,1
9.44,Source Verified,11.12,0.25,0,36,18-Mar,3
11.99,Verified,13.47,0.24,0,36,18-Feb,6
11.99,Not Verified,16.93,0.8,0,36,18-Jan,0
6.07,Not Verified,14.43,0.22,0,36,18-Mar,1
5.31,Source Verified,16.08,0.52,0,36,18-Feb,0
6.07,Source Verified,33.23,0.19,0,36,18-Mar,2
19.42,Source Verified,23.73,0.87,1,60,18-Feb,6
21.85,Verified,14.37,0.62,0,60,18-Mar,1
14.08,Verified,21.32,0.15,0,36,18-Feb,4
18.06,Verified,18.66,0.09,0,60,18-Jan,2
10.91,Source Verified,27.2,0.82,0,36,18-Jan,3
9.44,Not Verified,24.38,0.29,0,60,18-Jan,0
12.62,Verified,17.23,0.13,0,60,18-Feb,0
9.44,Not Verified,7.75,0.29,0,60,18-Feb,0
6.08,Verified,6.21,0.15,0,36,18-Feb,0
11.98,Not Verified,26.88,0.4,0,36,18-Mar,3
9.92,Not Verified,19.44,0.82,0,36,18-Mar,0
13.59,Source Verified,19.2,0.19,0,36,18-Feb,1
10.41,Not Verified,16.31,0.64,1,36,18-Feb,4
9.93,Verified,42.64,0.19,0,60,18-Jan,3
7.97,Not Verified,17.49,0.13,0,36,18-Feb,3
19.42,Not Verified,32.32,0.63,0,36,18-Mar,5
18.45,Verified,18.17,0.68,0,60,18-Mar,2
6.72,Not Verified,7.2,0.11,0,36,18-Jan,3
10.91,Source Verified,3.48,0.04,0,36,18-Jan,1
17.47,Source Verified,20.73,0.42,0,36,18-Mar,0
10.41,Not Verified,9.37,0.54,0,36,18-Mar,3
6.72,Verified,74.38,0.5,0,36,18-Jan,0
9.44,Not Verified,15.28,0.11,0,36,18-Feb,4
12.61,Source Verified,9.09,0.32,0,36,18-Mar,4
7.96,Not Verified,3.67,0.08,0,36,18-Mar,4
10.9,Verified,2.7,0.83,0,36,18-Mar,1
21.85,Not Verified,16.07,0.14,0,60,18-Feb,3
7.96,Verified,9.82,0.11,0,36,18-Mar,0
9.43,Verified,21.08,0.22,0,60,18-Mar,3
15.04,Not Verified,22.18,0.16,0,60,18-Mar,1
14.07,Source Verified,13.72,0.15,0,60,18-Mar,4
10.9,Source Verified,15.3,0.11,1,36,18-Mar,0
6.08,Not Verified,13.82,0.12,0,36,18-Feb,2
9.93,Source Verified,15.94,0.96,0,36,18-Jan,1
12.61,Not Verified,11.52,0.72,0,36,18-Mar,0
10.42,Not Verified,18.48,0.16,0,60,18-Feb,0
30.17,Source Verified,22.6,0.13,0,60,18-Jan,1
19.42,Verified,21.22,0.87,0,60,18-Feb,3
9.43,Not Verified,20.58,0.23,1,36,18-Mar,1
17.47,Verified,7.2,0.02,0,60,18-Mar,0
7.34,Source Verified,16.62,0.39,0,36,18-Mar,0
7.96,Not Verified,15.38,0.74,1,36,18-Mar,0
13.58,Source Verified,17.62,0.56,1,36,18-Mar,2
9.43,Verified,10.85,0.19,0,60,18-Mar,0
21.85,Verified,36.25,0.38,0,60,18-Mar,1
21.85,Not Verified,27.28,0.61,1,60,18-Mar,0
22.91,Verified,1.25,1.11,1,36,18-Jan,1
12.61,Not Verified,0.75,0,0,36,18-Mar,3
9.93,Verified,12.08,0.06,0,36,18-Feb,5
6.72,Source Verified,13.75,0.16,0,36,18-Jan,2
19.42,Source Verified,8.59,0.87,0,36,18-Mar,0
9.92,Source Verified,18.89,0.1,1,36,18-Mar,9
14.07,Not Verified,19.97,0.22,0,60,18-Mar,0
10.42,Verified,37.06,0.21,0,36,18-Jan,1
7.35,Not Verified,17.61,0.41,0,36,18-Jan,10
6.71,Not Verified,27.51,0.63,0,36,18-Mar,2
12.62,Not Verified,21.05,0.2,0,36,18-Feb,5
21.45,Not Verified,38.45,0.38,0,60,18-Feb,5
16.01,Not Verified,17.96,0.27,0,60,18-Feb,0
16.02,Not Verified,6.27,0.32,1,60,18-Jan,1
10.9,Source Verified,11.36,0.7,0,36,18-Mar,1
11.99,Source Verified,9.11,0.06,0,36,18-Jan,3
7.34,Source Verified,5.44,0.32,0,36,18-Mar,3
12.61,Not Verified,15.46,0.83,0,36,18-Feb,1
6.71,Source Verified,7.2,0.19,0,36,18-Mar,2
9.43,Not Verified,2.42,0.48,0,36,18-Mar,0
13.59,Not Verified,34.13,0.81,0,36,18-Jan,1
6.08,Not Verified,17.68,0.18,0,36,18-Jan,0
7.96,Source Verified,18.01,0.31,0,36,18-Mar,3
7.35,Not Verified,25.65,0.46,0,36,18-Feb,1
10.9,Source Verified,10.19,0.6,0,60,18-Mar,0
6.07,Source Verified,24.17,0.27,0,36,18-Mar,0
19.03,Source Verified,5.44,0.12,0,36,18-Jan,2
14.08,Source Verified,9.49,0.93,0,60,18-Feb,1
10.42,Source Verified,27.7,0.74,0,36,18-Feb,1
9.44,Not Verified,1.45,0.01,1,36,18-Mar,1
5.31,Source Verified,9.78,0.13,0,36,18-Feb,0
7.97,Not Verified,11.81,0.47,0,36,18-Jan,1
5.32,Not Verified,14.44,0.16,0,36,18-Jan,2
10.91,Verified,31.18,0.41,0,36,18-Jan,1
10.91,Source Verified,38.98,0.67,0,36,18-Jan,0
19.03,Verified,128.61,0.28,0,36,18-Jan,0
12.61,Source Verified,14.72,0.91,0,60,18-Mar,1
13.59,Source Verified,17.58,0.26,0,36,18-Jan,1
5.32,Source Verified,20.57,0.17,0,36,18-Jan,0
13.58,Verified,22.64,0.53,0,60,18-Mar,2
16.01,Not Verified,9.92,0.19,0,60,18-Feb,2
7.35,Not Verified,14.52,0.18,0,36,18-Jan,3
9.92,Verified,18.61,0.08,0,36,18-Mar,1
9.43,Source Verified,16.82,0.14,0,60,18-Feb,0
7.35,Verified,13.22,0.09,0,36,18-Feb,3
9.43,Not Verified,7.84,0.05,1,36,18-Mar,2
9.44,Not Verified,5.65,0.37,1,36,18-Feb,3
17.09,Source Verified,24.8,0.85,0,36,18-Jan,1
18.06,Verified,24.42,0.7,0,36,18-Jan,9
21.85,Source Verified,18.08,0.71,0,60,18-Mar,4
6.72,Not Verified,10.66,0.45,0,36,18-Feb,0
9.43,Source Verified,21.22,0.49,0,36,18-Feb,3
10.42,Verified,16.19,0.11,0,60,18-Jan,0
15.04,Not Verified,10.15,0.63,0,60,18-Mar,2
18.06,Source Verified,2.59,0.05,0,36,18-Feb,1
15.04,Source Verified,12.86,0.72,0,36,18-Mar,4
13.59,Verified,33.84,0.6,0,36,18-Feb,3
7.35,Verified,204.13,0.21,0,60,18-Jan,1
15.05,Verified,3.83,0.37,0,36,18-Feb,1
26.77,Verified,27.7,0.71,0,60,18-Mar,0
7.35,Verified,7.81,0.17,0,36,18-Jan,0
11.98,Source Verified,17.98,0.2,0,36,18-Feb,2
13.59,Not Verified,22.57,0.47,0,36,18-Jan,0
11.98,Not Verified,9.14,0.58,0,36,18-Mar,2
7.35,Not Verified,36.45,0.45,0,36,18-Jan,0
9.92,Not Verified,13.6,0.21,0,36,18-Mar,4
14.08,Not Verified,30.38,0.67,0,36,18-Jan,1
9.93,Source Verified,15.34,0.19,0,60,18-Feb,1
17.47,Source Verified,16.66,0.49,0,36,18-Mar,0
9.43,Source Verified,16.55,0.17,0,36,18-Mar,2
7.97,Not Verified,6.88,0.05,1,36,18-Jan,0
9.43,Not Verified,19.97,0.45,0,60,18-Mar,2
14.08,Verified,24.34,0.62,0,36,18-Feb,0
7.97,Not Verified,19.95,0.14,0,36,18-Jan,6
14.07,Not Verified,17.23,1.06,0,36,18-Mar,1
9.93,Source Verified,80.75,0.37,0,36,18-Jan,4
10.42,Not Verified,11.62,0.6,0,36,18-Jan,5
25.82,Verified,20.16,0.87,0,60,18-Feb,7
25.82,Source Verified,34.02,0.69,0,60,18-Feb,0
7.35,Not Verified,19.71,0.43,0,36,18-Feb,2
15.05,Source Verified,19.95,0.52,1,60,18-Jan,3
7.96,Not Verified,15.53,0.26,0,36,18-Mar,0
13.58,Verified,38.29,0.47,0,36,18-Mar,2
16.01,Verified,35.5,0.13,1,60,18-Feb,0
7.34,Not Verified,34.38,0.14,0,36,18-Mar,3
6.08,Not Verified,9.53,0.06,0,36,18-Jan,0
12.61,Source Verified,27.92,0.78,0,36,18-Mar,0
16.02,Source Verified,25.31,0.16,1,60,18-Feb,0
11.99,Not Verified,18.57,0.25,0,60,18-Feb,1
6.08,Not Verified,20.05,0.41,0,36,18-Feb,0
30.79,Source Verified,23.97,0.79,0,60,18-Feb,0
16.02,Verified,30.51,0.94,0,36,18-Jan,0
12.61,Source Verified,21.92,0.83,0,60,18-Mar,4
12.61,Not Verified,14.24,0.06,0,36,18-Mar,0
14.08,Not Verified,6.79,0.48,0,36,18-Jan,0
17.09,Not Verified,3.82,0.28,0,36,18-Jan,3
7.96,Not Verified,14.4,0.19,0,36,18-Mar,4
10.42,Verified,4.66,0.63,0,36,18-Jan,1
7.34,Not Verified,26.04,0.5,1,36,18-Mar,1
9.92,Not Verified,26.4,0.17,0,60,18-Mar,3
6.72,Source Verified,17.67,0.3,0,36,18-Jan,1
10.42,Source Verified,24.06,0.51,0,36,18-Feb,3
6.71,Not Verified,16.39,0.57,0,60,18-Mar,3
16.01,Source Verified,17.16,0.67,0,36,18-Mar,8
14.08,Not Verified,23.88,0.69,0,36,18-Jan,0
10.9,Not Verified,8.79,0.72,1,36,18-Mar,2
5.31,Not Verified,13.5,0.56,0,36,18-Mar,0
17.47,Source Verified,27.72,0.66,0,60,18-Mar,0
9.93,Source Verified,29.58,0.17,1,36,18-Feb,1
9.43,Source Verified,12.95,0.11,0,36,18-Mar,0
14.08,Source Verified,14.66,0.64,0,60,18-Jan,0
7.97,Verified,25.18,0.71,0,36,18-Jan,1
7.35,Source Verified,8.02,0.31,0,36,18-Jan,2
15.05,Not Verified,18.5,0.47,0,60,18-Jan,3
14.07,Source Verified,19.8,0.64,0,36,18-Feb,2
11.99,Source Verified,13.08,0.81,0,36,18-Jan,1
5.31,Not Verified,9.17,0.43,0,36,18-Mar,2
5.32,Not Verified,6.36,0.09,0,36,18-Jan,0
11.99,Not Verified,22.86,0.65,0,36,18-Jan,1
15.04,Source Verified,12.52,0.55,0,60,18-Mar,2
6.72,Source Verified,9.8,0.05,0,36,18-Jan,3
7.97,Source Verified,9.93,0.11,0,36,18-Jan,0
5.32,Source Verified,18.98,0.21,0,36,18-Jan,4
22.91,Verified,22.66,0.19,0,36,18-Feb,8
10.91,Source Verified,16.72,0.53,0,60,18-Feb,0
15.05,Verified,33.01,0.26,0,36,18-Mar,1
7.35,Not Verified,14.16,0.2,0,36,18-Jan,5
11.99,Verified,3.76,0.03,0,36,18-Jan,3
9.93,Verified,17.74,0.59,1,36,18-Feb,1
20,Source Verified,19.85,0.84,0,60,18-Feb,5
13.59,Source Verified,11.66,0.1,1,36,18-Jan,3
26.77,Verified,8.64,0.69,1,60,18-Mar,4
16.01,Not Verified,35.12,0.69,0,60,18-Mar,4
5.31,Not Verified,5.25,0.56,0,36,18-Feb,0
21.85,Verified,10.8,0.52,0,60,18-Mar,1
11.99,Not Verified,3.04,0.86,0,36,18-Jan,1
6.08,Source Verified,21.62,0.88,0,36,18-Jan,0
19.03,Source Verified,34.04,0.45,0,36,18-Jan,2
7.35,Source Verified,21.52,0.58,0,36,18-Jan,0
7.96,Source Verified,22.14,0.19,0,36,18-Mar,2
20.39,Source Verified,33.37,0.79,0,36,18-Feb,0
15.05,Verified,92.67,0.68,0,60,18-Feb,2
7.96,Not Verified,17.64,0.17,0,36,18-Mar,0
5.32,Not Verified,18.42,0.31,0,36,18-Jan,0
14.08,Not Verified,30.62,1.08,0,36,18-Jan,2
18.45,Verified,13.23,0.84,1,36,18-Mar,3
6.72,Source Verified,34.72,0.52,1,36,18-Feb,0
17.09,Not Verified,13.08,0.73,0,60,18-Jan,1
10.9,Not Verified,37.46,0.17,0,36,18-Mar,2
13.58,Verified,27.03,0.31,0,60,18-Mar,0
14.08,Verified,3.85,0.15,0,60,18-Feb,3
6.72,Source Verified,25.73,0.18,0,60,18-Feb,1
9.43,Not Verified,9.2,0.29,0,36,18-Mar,2
11.99,Source Verified,27.16,0.85,0,60,18-Feb,0
11.98,Not Verified,9.69,1.02,0,36,18-Feb,0
10.42,Verified,16.02,0.17,0,60,18-Jan,2
11.98,Source Verified,7.05,0.93,0,36,18-Mar,0
7.96,Source Verified,27.2,0.63,0,60,18-Mar,0
9.93,Not Verified,11.22,0.08,0,36,18-Jan,5
9.43,Source Verified,13.42,0.88,0,36,18-Feb,0
10.41,Verified,17.22,0.9,0,36,18-Feb,2
7.34,Source Verified,15.67,0.59,0,36,18-Mar,2
14.07,Source Verified,18.19,0.95,0,36,18-Mar,2
10.42,Not Verified,14.11,0.56,0,60,18-Feb,1
7.97,Source Verified,20.27,0.12,0,36,18-Feb,3
21.45,Verified,10.91,0.08,0,60,18-Jan,2
21.45,Source Verified,1.8,0.72,0,36,18-Feb,3
26.77,Verified,19.66,0.22,0,60,18-Mar,6
20.39,Verified,27.48,0.41,0,60,18-Mar,3
10.42,Not Verified,24.28,0.6,0,36,18-Feb,0
17.47,Source Verified,12.36,0.58,0,36,18-Mar,2
7.34,Not Verified,21.53,0.19,0,60,18-Feb,4
7.35,Verified,14.08,0.07,0,36,18-Mar,0
17.09,Source Verified,9.84,0.99,0,36,18-Jan,1
13.59,Source Verified,38.49,0.42,0,36,18-Jan,4
6.07,Not Verified,1.98,0.03,0,36,18-Mar,1
9.93,Verified,55.61,0.78,0,36,18-Feb,0
9.44,Not Verified,11.06,0.13,0,36,18-Jan,2
